url,title,description,image,url_1,author,date
https://www.nytimes.com/2024/06/06/world/middleeast/israel-gaza-detention-base.html,Inside the Base Where Israel Has Detained Thousands of Gazans,"Since Israel invaded Gaza, the Sde Teiman military base has filled with blindfolded, handcuffed detainees, held without charge or legal representation.",https://static01.nyt.com/images/2024/06/03/multimedia/00Israel-Gaza-Detention-01-hmkp/00Israel-Gaza-Detention-01-hmkp-facebookJumbo.jpg,https://www.nytimes.com/2024/06/06/world/middleeast/israel-gaza-detention-base.html,https://www.nytimes.com/by/patrick-kingsley,20240606
https://elpais.com/economia/2024-06-06/el-bce-baja-tipos-y-da-un-respiro-a-la-zona-euro-tras-dos-anos-de-lucha-contra-la-inflacion.html,El BCE baja tipos y da un respiro a la zona euro tras dos años de lucha contra la inflación,"Christine Lagarde recorta el precio del dinero en 25 puntos básicos, al 4,25%, después de un endurecimiento monetario sin precedentes en la historia del euro. El banco rechaza comprometerse “con ninguna senda concreta de tipos”",https://imagenes.elpais.com/resizer/v2/24NF7FJE7VELRB2TABTXKNBOXA.jpg?auth=61efd0f06ecfe41909b546b9e99705c52bfe45d051d08f0e5287b9e7190595f5&amp;width=1200,https://elpais.com/economia/2024-06-06/el-bce-baja-tipos-y-da-un-respiro-a-la-zona-euro-tras-dos-anos-de-lucha-contra-la-inflacion.html,Nuria Salobral,2024-06-06T14:15:29+02:00
https://www.niemanlab.org/2024/06/whats-in-a-byline-for-hoodlines-ai-generated-local-news-everything-and-nothing/,"What’s in a byline? For Hoodline’s AI-generated local news, everything — and nothing","None of the AI writers seems to have a specific beat, except possibly for what can be best described as &quot;police exploits,&quot; which they all cover with gusto.",https://www.niemanlab.org/images/Hoodline-bylines.jpg,https://www.niemanlab.org/2024/06/whats-in-a-byline-for-hoodlines-ai-generated-local-news-everything-and-nothing/,,
